source_table,category_or_disease,drug_name,condition_detail,rationale,recommendation,quality,strength
Table 2 (PIM),Antihistamines,Brompheniramine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Chlorpheniramine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Cyproheptadine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Dimenhydrinate,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Diphenhydramine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Doxylamine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Hydroxyzine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Meclizine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Promethazine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Antihistamines,Triprolidine,N/A,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity. Cumulative exposure to anticholinergic drugs is associated with an increased risk of falls, delirium, and dementia, even in younger adults. Consider total anticholinergic burden during regular medication reviews and be cautious in �young-old� as well as �old-old� adults.
Use of diphenhydramine in situations such as acute treatment of severe allergic reactions may be appropriate.",Avoid,Moderate,Strong
Table 2 (PIM),Anti-infective,Nitrofurantoin,N/A,"Potential for pulmonary toxicity, hepatoxicity, and peripheral neuropathy, especially with long-term use; safer alternatives available.",Avoid in individuals with CrCl <30 mL/ min or for long-term suppression.,Low,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Aspirin,primary prevention of cardiovascular disease,"Risk of major bleeding from aspirin increases markedly in older age. Studies suggest a lack of net benefit and potential for net harm when initiated for primary prevention in older adults. There is less evidence about stopping aspirin among long-term users, although similar principles for initiation may apply.
Note: Aspirin is generally indicated for secondary prevention in older adults with established cardiovascular disease.","Avoid initiating aspirin for primary prevention of cardiovascular disease.
Consider deprescribing aspirin in older adults already taking it for primary prevention.",High,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Warfarin,treatment of nonvalvular atrial fibrillation or venous thromboembolism (VTE),"Compared with DOACs, warfarin has higher risks of major bleeding (particularly intracranial bleeding) and similar or lower effectiveness for the treatment of nonvalvular atrial fibrillation and VTE. DOACs are thus the preferred choice for anticoagulation for most people with these conditions.","Avoid starting warfarin as initial therapy for the treatment of nonvalvular atrial fibrillation or VTE unless alternative options (i.e., DOACs) are contraindicated or there are substantial barriers to their use.
For older adults who have been using warfarin long-term, it may be reasonable to continue this medication, particularly among those with well-controlled INRs (i.e., >70% time in the therapeutic range) and no adverse effects.",High,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Rivaroxaban,�long-term treatment of nonvalvular atrial fibrillation or venous thromboembolism (VTE),"At doses used for long-term treatment of VTE or nonvalvular atrial fibrillation, rivaroxaban appears to have a higher risk of major bleeding and GI bleeding in older adults than other DOACs, particularly apixaban.c
Rivaroxaban may be reasonable in special situations, for example when once-daily dosing is necessary to facilitate medication adherence. All DOACs confer a lower risk of intracranial hemorrhage than warfarin.","Avoid for long-term treatment of atrial fibrillation or VTE in favor of safer anticoagulant alternatives.
See also criteria on warfarin (Table 2) and dabigatran (Table 4) and footnote regarding the choice between warfarin and DOACs and among DOACs.",Moderate,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Dipyridamole,oral short-acting (does not apply to extended-release combination with aspirin),May cause orthostatic hypotension; more effective alternatives available; IV form acceptable for use in cardiac stress testing.,Avoid,Moderate,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Doxazosin,Non-selective peripheral alpha-1 blockers for the treatment of hypertension,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile.",Avoid use as an antihypertensive.,Moderate,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Prazosin,Non-selective peripheral alpha-1 blockers for the treatment of hypertension,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile.",Avoid use as an antihypertensive.,Moderate,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Terazosin,Non-selective peripheral alpha-1 blockers for the treatment of hypertension,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile.",Avoid use as an antihypertensive.,Moderate,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Clonidine,Central alpha-agonists for the treatment of hypertension,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension.,"Avoid clonidine as first-line treatment for hypertension.
Avoid other central alpha-agonists for the treatment of hypertension.",Low,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Guanfacine,Central alpha-agonists for the treatment of hypertension,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension.,"Avoid clonidine as first-line treatment for hypertension.
Avoid other central alpha-agonists for the treatment of hypertension.",Low,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Nifedipine,immediate release,Potential for hypotension; risk of precipitating myocardial ischemia.,Avoid,High,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Amiodarone,N/A,Effective for maintaining sinus rhythm but has greater toxicities than other antiarrhythmics used in atrial fibrillation; may be reasonable first-line therapy in patients with concomitant heart failure or substantial left ventricular hypertrophy if rhythm control is preferred over rate control,Avoid as first-line therapy for atrial fibrillation unless the patient has heart failure or substantial left ventricular hypertrophy.,High,Strong
