section,system,criterion_id,criterion,drug_class,condition,indication,recommendation,evidence
A,Cardiovascular,A1,Antihypertensive therapy where SBP >160 or DBP >90,Antihypertensives,Hypertension - SBP >160 or DBP >90,Blood pressure control,START antihypertensive,Strong
A,Cardiovascular,A2,Antihypertensive for diabetics if SBP >140 or DBP >90,Antihypertensives,Diabetes with SBP >140 or DBP >90,Cardiovascular risk reduction,START antihypertensive,Strong
A,Cardiovascular,A3,Beta-blocker or CCB for stable angina,Beta-blocker or Calcium channel blocker,Stable angina,Symptom control and CV protection,START beta-blocker or CCB,Strong
A,Cardiovascular,A4,Appropriate beta-blocker with stable systolic heart failure,"Beta-blocker (bisoprolol, carvedilol, nebivolol)",Stable systolic heart failure,Mortality reduction,START beta-blocker,Strong
A,Cardiovascular,A5,ACEI with systolic HF or documented CAD,ACE inhibitor,Systolic heart failure or coronary artery disease,"Mortality reduction, CV protection",START ACEI,Strong
A,Cardiovascular,A6,"Statin with known CHD, QRISK >10%, diabetes, or CKD eGFR <60",Statin (Atorvastatin first-line),"CHD, QRISK >10%, diabetes type 1/2, CKD eGFR <60",Cardiovascular risk reduction,"START statin - discuss with patient, consider for ≥85 years",Strong
A,Cardiovascular,A7,Lifestyle advice for CVD prevention,Non-pharmacological,All patients for CV prevention,"Smoking cessation, diet, exercise, alcohol moderation",START lifestyle interventions,Strong
B,Anticoagulants/Antiplatelets,B1,"Antiplatelet with documented coronary, cerebral, or peripheral vascular disease","Aspirin, Clopidogrel, Prasugrel, or Ticagrelor","History of MI, stroke, TIA, PAD",Secondary prevention,START antiplatelet,Strong
B,Anticoagulants/Antiplatelets,B2,Anticoagulation for AF with CHA2DS2-VASc ≥2 (≥1 males),Warfarin or NOAC,Atrial fibrillation with CHA2DS2-VASc score ≥2 (or ≥1 for males),Stroke prevention,"START anticoagulation - discuss risks/benefits, consider HAS-BLED",Strong
C,Respiratory,C1,Regular inhaled beta-2 agonist or antimuscarinic for mild-moderate COPD,"Inhaled beta-2 agonist or Antimuscarinic (ipratropium, aclidinium)",Mild to moderate COPD,Symptom control,START regular bronchodilator,Strong
